MIR770	MIRN770|hsa-mir-770	microRNA 770
SMG8	C17orf71|FLJ23205|FLJ10587	smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans)|SMG8 nonsense mediated mRNA decay factor
TTTY1	NCRNA00033|LINC00033|TTY1	long intergenic non-protein coding RNA 33|non-protein coding RNA 33|testis-specific transcript, Y-linked 1 (non-protein coding)
C18orf54	MGC33382|LAS2	chromosome 18 open reading frame 54|lung adenoma susceptibility protein 2
CALCR	CTR	calcitonin receptor
PCDHB4	PCDH-BETA4	protocadherin beta 4
PCBD2	DCOHM|DCOH2	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
DDX55	KIAA1595	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55
FAM187B	FLJ25660|TMEM162	family with sequence similarity 187, member B
RPL21P45		ribosomal protein L21 pseudogene 45
PMS2P7	PMSR7|PMS2LP2|PMS2L15	postmeiotic segregation increased 2 pseudogene 7
FAM174A	UNQ1912|TMEM157	family with sequence similarity 174, member A
PLCE1-AS2		
OPA2		optic atrophy 2 (obscure)
A2ML1	CPAMD9|FLJ25179	alpha-2-macroglobulin-like 1
REV3L	POLZ|REV3	REV3-like, polymerase (DNA directed), zeta, catalytic subunit|polymerase, DNA, zeta
KRTAP5-10	KRTAP5.10	keratin associated protein 5-10
LBX2		ladybird homeobox 2
ESR2	Erb|NR3A2	estrogen receptor 2 (ER beta)
RPS3AP51		ribosomal protein S3a pseudogene 51
YKT6		R-SNARE|YKT6 v-SNARE homolog (S. cerevisiae)
URGCP	URG4|DKFZp666G166|DKFZp686O0457|FLJ20654|KIAA1507	upregulator of cell proliferation|up-regulated gene 4
RPL5P30		ribosomal protein L5 pseudogene 30
PCDHGB7	ME6|PCDH-GAMMA-B7	cadherin ME6|protocadherin gamma subfamily B, 7
RNA5SP318	RN5S318	RNA, 5S ribosomal pseudogene 318
EMC3	TMEM111	ER membrane protein complex subunit 3
HMGB1P31		high mobility group box 1 pseudogene 31
ETFDH	ETFQO	electron-transferring-flavoprotein dehydrogenase
PCCA-AS1		PCCA antisense RNA 1
CITED4		Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4|transcriptional co-activator 4
SLC26A2	DTD|DTDST	solute carrier family 26 (anion exchanger), member 2|solute carrier family 26 (sulfate transporter), member 2
JAM3	JAM-C|JAMC	junctional adhesion molecule 3
EIF1P5		eukaryotic translation initiation factor 1 pseudogene 5
RN7SL714P		RNA, 7SL, cytoplasmic 714, pseudogene
AGGF1P2		angiogenic factor with G patch and FHA domains 1 pseudogene 2
BTC		betacellulin
ACTN4P2		actinin, alpha 4 pseudogene 2
KRT18P9	bA513I15.2	keratin 18 pseudogene 9
LINC01241		long intergenic non-protein coding RNA 1241
SNRPGP19		small nuclear ribonucleoprotein polypeptide G pseudogene 19
FUT7		fucosyltransferase 7 (alpha (1,3) fucosyltransferase)
MIR527	MIRN527|hsa-mir-527	microRNA 527
COQ3	bA9819.1	coenzyme Q3 methyltransferase|polyprenyldihydroxybenzoate methyltransferase
OR2J1	hs6M1-4|dJ80I19.2|OR6-5|OR2J1P	olfactory receptor, family 2, subfamily J, member 1 (gene/pseudogene)
MIR4683	hsa-mir-4683	microRNA 4683
SMIM14	FLJ13289|C4orf34	small integral membrane protein 14
TSSK5P	TSSK5P2|TSSK5P1|TSSKps1	testis-specific serine kinase 5 pseudogene 1|testis-specific serine kinase 5 pseudogene 2
PPP1R12B	MGC87886|MYPT2|MGC131980|PP1bp55	myosin phosphatase, target subunit 2|protein phosphatase 1, regulatory subunit 12B|myosin phosphatase regulatory subunit
RPS26P22		ribosomal protein S26 pseudogene 22
PTP4A2P1	PTP4AP1|h-PRL-1	protein tyrosine phosphatase type IVA, member 2 pseudogene 1
MED14P1	MED14P|CXorf4P|CRSP2P	mediator complex subunit 14 pseudogene 1|cofactor required for Sp1 transcriptional activation, subunit 2, pseudogene
LINC01448		
C7orf43	FLJ10925	chromosome 7 open reading frame 43
RNA5SP338	RN5S338	RNA, 5S ribosomal pseudogene 338
HIST1H2BM	H2BFE|H2B/e|dJ160A22.3	histone cluster 1, H2bm
HSPE1P10		heat shock 10kDa protein 1 pseudogene 10
TENM4	ODZ4|KIAA1302|Ten-M4	teneurin transmembrane protein 4
PEX10	RNF69	peroxisomal biogenesis factor 10
RN7SL262P		RNA, 7SL, cytoplasmic 262, pseudogene
IGLON5	LOC402665	IgLON family member 5
TFPI	TFPI1|TFI|LACI|EPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)|extrinsic pathway inhibitor
RPL6P7		ribosomal protein L6 pseudogene 7
LILRA5	CD85|CD85f|LIR9|ILT11|LILRB7	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5
OR4F16		olfactory receptor, family 4, subfamily F, member 16
RN7SL545P		RNA, 7SL, cytoplasmic 545, pseudogene
IGHD2-21	IGHD221	immunoglobulin heavy diversity 2-21
SETP6		SET pseudogene 6
IFNE	IFNE1	interferon, epsilon
RPL39P14		ribosomal protein L39 pseudogene 14
RPL32P22		ribosomal protein L32 pseudogene 22
NRG2	HRG2|NTAK|Don-1	divergent of neuregulin-1|neuregulin 2|neural- and thymus-derived activator for ErbB kinases
LINC01299		
ADK	AK	adenosine kinase|adenosine 5'-phosphotransferase
FGF6		fibroblast growth factor 6
IFNAR1	IFNAR|IFRC	interferon (alpha, beta and omega) receptor 1
TRBJ2-4	TCRBJ2S4|TRBJ24	T cell receptor beta joining 2-4
FBXO48		F-box protein 48
TTF1		transcription termination factor, RNA polymerase I
LINC00423		long intergenic non-protein coding RNA 423
CLDN3	CPE-R2|RVP1|C7orf1|CPETR2|HRVP1	Clostridium perfringens enterotoxin receptor 2|CPE-receptor 2|ventral prostate.1-like protein|claudin 3|claudin-3
ZNF799	ZNF842|MGC71805|HIT-40	zinc finger protein 799
ACTR3BP4		ACTR3B pseudogene 4
NUDT3	DIPP	nudix (nucleoside diphosphate linked moiety X)-type motif 3
SIRT7		sirtuin 7
MIR2110	hsa-mir-2110	microRNA 2110
TCEB1P20		transcription elongation factor B (SIII), polypeptide 1 pseudogene 20
KCTD6	KCASH3|MGC27385	potassium channel tetramerisation domain containing 6|potassium channel tetramerization domain containing 6
CT47A6	CT47.6	cancer/testis antigen family 47, member A6|cancer/testis CT47 family, member 6
SIK1	msk|SNF1LK	myocardial SNF1-like kinase|salt-inducible kinase 1
KRTAP5-14P	KRTAP5P2|KRTAP5.P2	keratin associated protein 5-14, pseudogene
PIP5K1B	STM7|MSS4	phosphatidylinositol-4-phosphate 5-kinase, type I, beta
MRX67		mental retardation, X-linked 67
MIR6893	hsa-mir-6893	microRNA 6893
PIDD1	MGC16925|DKFZp434D229|LRDD|PIDD	p53-induced death domain protein
ARHGAP42P5		Rho GTPase activating protein 42 pseudogene 5
GCY	STA|TSY	growth control, Y chromosome influenced
RNU6-245P		RNA, U6 small nuclear 245, pseudogene
LDLRAD4	C18orf1	clone 22|low density lipoprotein receptor class A domain containing 4
DND1	MGC34750|RBMS4	dead end homolog 1 (zebrafish)|DND microRNA-mediated repression inhibitor 1
CA12	HsT18816	carbonic anhydrase XII
MIEF1	MiD51|FLJ20232|SMCR7L	mitochondrial elongation factor 1|Smith-Magenis syndrome chromosome region, candidate 7-like
MIR135A2	MIRN135-2|hsa-mir-135-2|hsa-mir-135a-2|MIRN135A2	microRNA 135a-2
SF3B3	SF3b130|SAP130|RSE1|KIAA0017	splicing factor 3b, subunit 3, 130kDa
BPY2	VCY2|BPY2A|VCY2A	basic charge, Y-linked, 2
MIR4301	hsa-mir-4301	microRNA 4301
MR1	HLALS	major histocompatibility complex, class I-related
RNU6-89P		RNA, U6 small nuclear 89, pseudogene
FAM101A	FLJ44614	family with sequence similarity 101, member A
ZNF849P		zinc finger protein 849, pseudogene
ARL4P	ARL4B|Em:AC022390.2	ADP-ribosylation factor-like 4 pseudogene|similar to ADP-ribosylation factor-like protein 4
CELF5	BRUNOL5	CUGBP, Elav-like family member 5
C8orf66	DKFZp434O0331	chromosome 8 open reading frame 66
HOXB-AS1		HOXB cluster antisense RNA 1
CHRM3		acetylcholine receptor, muscarinic 3|cholinergic receptor, muscarinic 3
KCNG3	Kv6.3	potassium voltage-gated channel, subfamily G, member 3
LMO7DN-IT1	TCONS_00021569|C13orf45-IT1	LMO7DN intronic transcript 1
RAD50	RAD50-2|hRad50	RAD50 homolog (S. cerevisiae)
PIRC78		piwi-interacting RNA cluster 78
THTPA	THTPASE	thiamine triphosphatase
NKAIN4	C20orf58|bA261N11.2|FAM77A	Na+/K+ transporting ATPase interacting 4
OR51D1	OR51D1Q	olfactory receptor, family 51, subfamily D, member 1
SPATA19	FLJ25851|SPAS1|spergen1|CT132	spergen 1|spermatogenesis associated 19|cancer/testis antigen 132
DNM1P32	DNM1DN4@|DNM1DN4-5	DNM1 pseudogene 32|DNM1 duplicon 4 cluster
PNMAL2	KIAA1183	paraneoplastic Ma antigen family-like 2
TRBV6-4	TRBV64|TCRBV13S5|TCRBV6S4	T cell receptor beta variable 6-4
PPA1	SID6-8061|IOPPP|Ppase|PP1|PP	pyrophosphate phospho-hydrolase|pyrophosphatase (inorganic) 1|cytosolic inorganic pyrophosphatase|inorganic pyrophosphatase 1
HOXB2	HOX2|HOX2H	homeobox B2
BANF1P2	bA122K13.8|BANF1L1	barrier to autointegration factor 1 pseudogene 2
MOB3C	MOB1E|MOBKL2C	MOB kinase activator 3C
MTCYBP4		MT-CYB pseudogene 4
RPL21P36		ribosomal protein L21 pseudogene 36
RBMY1A3P		RNA binding motif protein, Y-linked, family 1, member A3 pseudogene
CCR5	CKR-5|CD195|CC-CKR-5|CKR5|IDDM22|CMKBR5	chemokine (C-C motif) receptor 5 (gene/pseudogene)
FIRRE	LINC01200	firre intergenic repeating RNA element
HNRNPA1P60		heterogeneous nuclear ribonucleoprotein A1 pseudogene 60
ACTBP7		actin, beta pseudogene 7
RNU6-804P		RNA, U6 small nuclear 804, pseudogene
RN7SKP191		RNA, 7SK small nuclear pseudogene 191
RARG	NR1B3|RARC	retinoic acid receptor, gamma
FRA8B		fragile site, aphidicolin type, common, fra(8)(q22.1)
PLGLB2	PLGP1	plasminogen-like B2
RNA5SP339	RN5S339	RNA, 5S ribosomal pseudogene 339
FAM197Y4		family with sequence similarity 197, Y-linked, member 4
TRAF3	CAP-1|CD40bp|LAP1|CRAF1	TNF receptor-associated factor 3
HNRNPA1P17		heterogeneous nuclear ribonucleoprotein A1 pseudogene 17
ENO1P4		enolase 1, (alpha) pseudogene 4
SNORA70F	U70F	small nucleolar RNA, H/ACA box 70F
SSXP1	psiSSX1	SSX family pseudogene 1
LRRC37A11P		leucine rich repeat containing 37, member A11, pseudogene
SLCO3A1	SLC21A11|OATP3A1|OATP-D	solute carrier organic anion transporter family, member 3A1
MAPK6PS6		mitogen-activated protein kinase 6 pseudogene 6
ZNF80	pT17	zinc finger protein 80
ALX3	FND	frontonasal dysplasia|ALX homeobox 3
ODF2	CT134|ODF84	outer dense fiber of sperm tails 2|cancer/testis antigen 134
SNORD115-7	HBII-52-7	small nucleolar RNA, C/D box 115-7
HTR3B	5-HT3B	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic
RPS15AP36		ribosomal protein S15a pseudogene 36
ST6GAL2	KIAA1877|St6gal2|SIAT2|St6GalII	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2
CYB5R4	dJ676J13.1|NCB5OR|b5+b5R	cytochrome b5 reductase 4
HSD3BP1		hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 1
IGLV2-18		immunoglobulin lambda variable 2-18
RPL10AP13		ribosomal protein L10a pseudogene 13
TRBV7-9	TCRBV7S9|TRBV79|TCRBV6S4A1	T cell receptor beta variable 7-9
MIR3155B	hsa-mir-3155b	microRNA 3155b
NUTM2HP	FAM22HP	NUT family member 2H, pseudogene
ERN2	IRE1b	endoplasmic reticulum to nucleus signaling 2
LINC00677	C14orf74	long intergenic non-protein coding RNA 677
KRT127P	KRT3P1	keratin 127 pseudogene
RN7SL371P		RNA, 7SL, cytoplasmic 371, pseudogene
MYL12A	MRCL3|MRLC3|MLCB|MYL2B	myosin, light chain 12A, regulatory, non-sarcomeric|myosin regulatory light chain 3
MIR4698	hsa-mir-4698	microRNA 4698
CLPX		caseinolytic mitochondrial matrix peptidase chaperone subunit|ClpX caseinolytic peptidase X homolog (E. coli)
OR5F2P		olfactory receptor, family 5, subfamily F, member 2 pseudogene
ZNF696	FLJ14129	zinc finger protein 696
ARHGAP23	KIAA1501	Rho GTPase activating protein 23
ZSCAN18	ZNF447|FLJ12895	zinc finger and SCAN domain containing 18
TMEM216	HSPC244|MGC13379|CORS2|JBTS2|MKS2	transmembrane protein 216|cerebello-oculo-renal syndrome 2|Meckel syndrome, type 2
ERVK-28		endogenous retrovirus group K, member 28
IGFBP5		insulin-like growth factor binding protein 5
ALG1L	ALG1L1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like|asparagine-linked glycosylation 1-like 1
MIR497HG	MIR195HG	mir-497-195 cluster host gene (non-protein coding)
HNRNPA1P46		heterogeneous nuclear ribonucleoprotein A1 pseudogene 46
PIRC110		piwi-interacting RNA cluster 110
FHP1		fumarate hydratase pseudogene 1
CCDC17	FLJ33084	coiled-coil domain containing 17
FSTL1	FSL1|FRP	follistatin-like 1
TMEM88	MGC71744|FLJ20025	transmembrane protein 88
RHBDL2	FLJ20435	rhomboid, veinlet-like 2 (Drosophila)
RNF43	DKFZp781H0392|URCC|FLJ20315	ring finger protein 43
PHTF1	PHTF	putative homeodomain transcription factor 1
IMMP1L	FLJ25059	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)
CTGLF9P	bA548K23.1	centaurin, gamma-like family, member 9 pseudogene
IGHV3OR16-7	IGHV3/OR16-7	immunoglobulin heavy variable 3/OR16-7 (pseudogene)
SNORA54	ACA54	small nucleolar RNA, H/ACA box 54
SLITRK3	KIAA0848	SLIT and NTRK-like family, member 3
RN7SKP229		RNA, 7SK small nuclear pseudogene 229
EPHA10	FLJ33655|FLJ16103	EPH receptor A10
RPL23P5		ribosomal protein L23 pseudogene 5
U2SURP	fSAPa|SR140	Ser/Arg-rich domain protein, 140 kDa|U2 snRNP-associated SURP domain containing|U2 associated SR140 protein|functional spliceosome-associated protein a
RNU6-997P		RNA, U6 small nuclear 997, pseudogene
IGHV1-69	IGHV1-E	immunoglobulin heavy variable 1-69
KCNN4	KCa3.1|hSK4|hKCa4|hIKCa1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
FCER2	CD23A|CLEC4J|CD23|FCE2	Fc fragment of IgE, low affinity II, receptor for (CD23)
SPRR2G		small proline-rich protein 2G
PAICS	PAIS|AIRC|ADE2H1	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
APOOP4		apolipoprotein O pseudogene 4
FBXO15	MGC39671|FBX15	F-box protein 15
FAM135B	C8ORFK32	family with sequence similarity 135, member B
C21orf62	C21orf120|B37|PRED81	chromosome 21 open reading frame 62
P2RY4	P2Y4|P2P|NRU|UNR	pyrimidinergic receptor P2Y, G-protein coupled, 4
C11orf94		chromosome 11 open reading frame 94
KRT8P38		keratin 8 pseudogene 38
UGT2B17		UDP glucuronosyltransferase 2 family, polypeptide B17
FEM1A		fem-1 homolog a (C. elegans)
TRGV7	TCRGV7|V1S7P	T-cell receptor, gamma, variable region V7 (pseudogene)|T cell receptor gamma variable 7 (pseudogene)
APEX2	APE2|ZGRF2|APEXL2|XTH2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2
RNU4-38P		RNA, U4 small nuclear 38, pseudogene
RN7SL260P		RNA, 7SL, cytoplasmic 260, pseudogene
TRQ-CTG17-1	TRNAQ23	transfer RNA glutamine 23 (anticodon CUG)
SNX18P6		sorting nexin 18 pseudogene 6
NLGN4X	HLNX|NLGN|KIAA1260|NLGN4	neuroligin 4, X-linked
OR4A18P		olfactory receptor, family 4, subfamily A, member 18 pseudogene
DLGAP1	GKAP|SAPAP1|DAP-1	discs, large (Drosophila) homolog-associated protein 1
GANC		glucosidase, alpha; neutral C
SLC2A6	GLUT9|GLUT6|HSA011372	solute carrier family 2 (facilitated glucose transporter), member 6
EPHB2	Hek5|ERK|Tyro5|DRT|EPHT3	EPH receptor B2
RPL18AP10		ribosomal protein L18a pseudogene 10
MIR3170	hsa-mir-3170	microRNA 3170
MRPL51	HSPC241|bMRP64|MRP64|CDA09	mitochondrial ribosomal protein L51
HNRNPA1P9		heterogeneous nuclear ribonucleoprotein A1 pseudogene 9
AMIGO3		adhesion molecule with Ig-like domain 3|amphoterin-induced gene and open reading frame 3
ZNF286A	KIAA1874|ZNF286	zinc finger protein 286A
FAM216A	HSU79274|C12orf24	family with sequence similarity 216, member A
NFIX	NF1A	nuclear factor I/X (CCAAT-binding transcription factor)
ZNF488	FLJ32104	zinc finger protein 488
PIK3R4	VPS15|p150	phosphoinositide-3-kinase, regulatory subunit 4
TCEAL6	WEX2	transcription elongation factor A (SII)-like 6
RN7SL781P		RNA, 7SL, cytoplasmic 781, pseudogene
KRT18P13	KRT18L3	keratin 18-like 3|keratin 18 pseudogene 13
SLC17A8	DFNA25|VGLUT3	vesicular glutamate transporter 3|solute carrier family 17 (vesicular glutamate transporter), member 8|solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8
ADAD1P1		adenosine deaminase domain containing 1 (testis-specific) pseudogene 1
GLYB		glycine B complementing
PMPCA	KIAA0123|Alpha-MPP|INPP5E	peptidase (mitochondrial processing) alpha
RAI2		retinoic acid induced 2
TTLL5	KIAA0998	tubulin tyrosine ligase-like family, member 5
PIK3CD	p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta|phosphatidylinositol 3-kinase, catalytic, delta polypeptide|phosphoinositide-3-kinase C
GBP2		guanylate binding protein 2, interferon-inducible
MIR4795	hsa-mir-4795	microRNA 4795
CXCR3	MigR|GPR9|CMKAR3|IP10-R|CKR-L2|CD183	chemokine (C-X-C motif) receptor 3
C16orf45	FLJ32618	chromosome 16 open reading frame 45
KRT8P20		keratin 8 pseudogene 20
GAPDHP39		glyceraldehyde 3 phosphate dehydrogenase pseudogene 39
GDF5OS		growth differentiation factor 5 opposite strand
EFR3A	KIAA0143	EFR3 homolog A (S. cerevisiae)
PFDN6	KE-2|HKE2|H2-KE2|PFD6	prefoldin subunit 6
NEXN-AS1	C1orf118|FLJ90637	NEXN antisense RNA 1
MYL6P1	MYL6P	myosin, light chain 6 pseudogene 1
HMG20B	SOXL|HMGX2|BRAF35|SMARCE1r|HMGXB2|BRAF25	high mobility group 20B|HMG box domain containing 2
DUX4L2		double homeobox 4 like 2
STK25P1		serine/threonine kinase 25 pseudogene 1
CLGN		calmegin
RNU6-667P		RNA, U6 small nuclear 667, pseudogene
VDAC1P11		voltage-dependent anion channel 1 pseudogene 11
RPL19P18		ribosomal protein L19 pseudogene 18
SLC45A2	OCA4|MATP|AIM-1	solute carrier family 45, member 2
FAM201B		family with sequence similarity 201, member B
RPL34P2		ribosomal protein L34 pseudogene 2
BNIP3P32		BCL2/adenovirus E1B 19kDa interacting protein 3 pseudogene 32
HSPD1P17	HSPD1-19P	heat shock 60kDa protein 1 (chaperonin) pseudogene 17
RNU7-44P	U7.44	RNA, U7 small nuclear 44 pseudogene
LINC01297		
ZBTB45P2		zinc finger and BTB domain containing 45 pseudogene 2
RNU6-315P		RNA, U6 small nuclear 315, pseudogene
RNU6-578P		RNA, U6 small nuclear 578, pseudogene
RN7SL472P		RNA, 7SL, cytoplasmic 472, pseudogene
RNU6-1127P		RNA, U6 small nuclear 1127, pseudogene
ABL2	ABLL|ARG	c-abl oncogene 2, non-receptor tyrosine kinase|Abelson-related gene|v-abl Abelson murine leukemia viral oncogene homolog 2
PPP1R14A	PPP1INL|CPI-17	17-kDa PKC-potentiated inhibitory protein of PP1|17-KDa protein|PKC-potentiated inhibitory protein of PP1|protein phosphatase 1, regulatory (inhibitor) subunit 14A
ZNF441	FLJ38637	zinc finger protein 441
TRIM5	RNF88|TRIM5alpha	tripartite motif containing 5|tripartite motif protein TRIM5|tripartite motif protein TRIM
GTF2H2	T-BTF2P44|p44|BTF2|BTF2P44|TFIIH	general transcription factor IIH, polypeptide 2, 44kDa
HIST1H4L	H4/k|H4FK|H4.k	histone cluster 1, H4l
RBBP4P3		retinoblastoma binding protein 4 pseudogene 3
KCNH8	elk3|Kv12.1	potassium voltage-gated channel, subfamily H (eag-related), member 8
RPL39P16		ribosomal protein L39 pseudogene 16
POLR3B	FLJ10388|RPC2	polymerase (RNA) III (DNA directed) polypeptide B
COMMD8	FLJ20502	COMM domain containing 8
ZNF736P10Y		zinc finger protein 736 pseudogene 10, Y-linked
COL22A1		collagen, type XXII, alpha 1
TDGP1		thymine-DNA glycosylase pseudogene 1
NPM1P10		nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 10
HMGN1P18		high mobility group nucleosome binding domain 1 pseudogene 18
CST13P	CTES6|CSTT	cystatin 13, pseudogene
PHF5FP		PHD finger protein 5F pseudogene
SLCO2B1	OATP-B|SLC21A9|OATP2B1	solute carrier organic anion transporter family, member 2B1
RN7SL670P		RNA, 7SL, cytoplasmic 670, pseudogene
EEF1A1P16		eukaryotic translation elongation factor 1 alpha 1 pseudogene 16
RNU6-803P		RNA, U6 small nuclear 803, pseudogene
DR1	NC2-BETA|NC2	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
CDY12P		chromodomain protein, Y-linked 12 pseudogene
FETUB		fetuin B
RNY5P2		RNA, Ro-associated Y5 pseudogene 2
SNORD65	HBII-135	small nucleolar RNA, C/D box 65
FCHSD2	KIAA0769|SH3MD3	FCH and double SH3 domains 2
RAB11FIP1	FLJ22524|RCP|Rab11-FIP1|FLJ22622	RAB11 family interacting protein 1 (class I)
DUOX2	THOX2|P138-TOX|P138(TOX)|LNOX2	dual oxidase-like domains 2|flavoprotein NADPH oxidase|NADH/NADPH thyroid oxidase p138-tox|dual oxidase 2|NADPH oxidase/peroxidase DUOX2|nicotinamide adenine dinucleotide phosphate oxidase|NADPH thyroid oxidase 2
PSME2P5		proteasome activator subunit 2 pseudogene 5
ARIH1	UBCH7BP|HARI|ARI|HHARI	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)|ariadne, Drosophila, homolog of|ariadne RBR E3 ubiquitin protein ligase 1
MCTP2	FLJ33303|FLJ11175	multiple C2 domains, transmembrane 2
MIR4479	hsa-mir-4479	microRNA 4479
AKIRIN2	FLJ10342|C6orf166|dJ486L4.2	akirin 2
CLIC4P1		chloride intracellular channel 4 pseudogene 1
TTIM1		T-cell tumor invasion and metastasis 1
MCO		microphthalmia (Los Angeles type)
RN7SL629P		RNA, 7SL, cytoplasmic 629, pseudogene
ARHGEF38-IT1		ARHGEF38 intronic transcript 1 (non-protein coding)
TBC1D3P6		TBC1 domain family, member 3 pseudogene 6
LINC00328	NCRNA00328|NCRNA00328-1|NCRNA00328A	long intergenic non-protein coding RNA 328
RNA5SP396	RN5S396	RNA, 5S ribosomal pseudogene 396
TRAV14DV4	TRAV14/DV4|TCRAV6S1-hDV104S1|hADV14S1	T cell receptor alpha variable 14/delta variable 4
CDK15	PFTK2|PFTAIRE2|ALS2CR7	cyclin-dependent kinase 15
FAM220CP		family with sequence similarity 220, member C, pseudogene
TSSC2		asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase) (ALG1) pseudogene|tumor suppressing subtransferable candidate 2 pseudogene|tumor-supressing STF cDNA 2
RPS16P10		ribosomal protein S16 pseudogene 10
GGT1	D22S732|CD224|GGT|D22S672	gamma-glutamyltransferase 1
RHOT1	MIRO-1|FLJ11040|ARHT1	ras homolog family member T1|mitochondrial Rho (MIRO) GTPase 1
LINC01037		long intergenic non-protein coding RNA 1037
RNU6-1323P		RNA, U6 small nuclear 1323, pseudogene
SLC7A4	CAT-4|HCAT3|VH	solute carrier family 7 (orphan transporter), member 4|solute carrier family 7, member 4
OR51E2	PSGR	olfactory receptor, family 51, subfamily E, member 2
KALRN	DUET|Hs.8004|duo|Kalirin|HAPIP|ARHGEF24|TRAD	serine/threonine kinase with Dbl and pleckstrin homology domains|kalirin, RhoGEF kinase
